Reading,Mote ID,Humidity,Temperature,Label,Is_Singlehop,Has_Fault
2887,4,47.16,27.28,0,0,1
215,3,48.07,28.04,0,0,0
437,1,64.43,25.92,0,0,1
790,3,32.36,30.66,0,0,1
3201,4,55.36,27.41,0,1,0
2626,1,42.84,27.64,0,1,0
3635,3,60.51,23.72,0,1,1
4116,3,43.64,26.81,0,1,0
2677,2,64.93,27.71,0,1,0
2614,4,48.05,27.49,0,1,0
2282,3,46.64,27.52,0,1,0
4022,1,71.1,28.27,0,0,0
3521,2,69.04,26.63,0,0,0
2685,2,46.86,27.6,0,1,0
3741,4,43.33,27.05,0,1,0
4204,4,47.66,26.76,0,0,0
216,1,44.8,30.17,0,1,0
1737,1,80.0,31.23,0,0,1
1299,4,47.06,30.04,0,0,0
2695,4,56.06,25.49,0,0,1
1101,4,49.65,28.95,0,0,0
4394,3,44.38,26.95,0,0,0
3669,1,42.4,26.92,0,1,0
3934,2,44.27,27.28,0,1,0
1578,1,44.98,29.11,0,1,0
5109,3,76.11,15.67,0,1,1
3065,4,46.94,23.29,0,1,0
3235,3,44.45,27.19,0,1,0
3926,3,28.47,16.36,0,1,1
2490,3,66.18,27.57,0,0,0
3085,4,55.92,27.34,0,1,0
1239,3,44.31,29.84,0,0,0
1151,2,64.3,24.61,0,1,1
2886,1,68.16,27.39,0,0,0
1437,3,50.71,29.08,0,1,0
1872,3,47.64,27.81,0,0,0
2479,1,44.86,27.93,0,1,0
782,3,48.57,27.8,0,0,0
940,2,51.11,29.06,0,1,0
2540,1,67.27,27.71,0,0,1
4658,3,45.24,25.03,0,1,0
2685,1,64.55,27.52,0,0,0
3547,3,45.32,27.01,0,1,0
5046,4,44.44,24.06,0,1,0
1648,4,37.88,25.79,0,0,1
2137,2,51.29,28.8,0,1,0
3677,4,47.06,27.74,0,0,0
3223,1,44.12,29.97,0,0,0
1386,4,47.3,27.85,0,1,0
4966,4,55.28,26.01,0,0,1
669,2,45.54,30.58,0,1,0
4194,3,44.31,26.94,0,1,0
889,2,48.12,28.85,0,1,0
317,2,73.7,34.53,0,0,1
713,3,44.07,26.72,0,0,1
331,4,49.98,27.64,0,0,0
2840,3,28.87,23.24,0,0,1
4886,3,43.91,23.34,0,1,1
3173,4,59.49,28.7,0,1,0
3661,4,56.89,26.21,0,1,0
3830,2,67.12,27.34,0,0,0
2218,4,49.03,27.54,0,1,0
2769,1,67.67,26.47,0,0,0
1,1,44.91,29.91,0,0,0
2769,4,47.0,27.78,0,0,0
1714,1,45.76,28.62,0,0,1
2928,1,67.27,27.99,1,0,0
2903,4,46.42,27.77,0,1,0
2057,1,49.35,31.11,0,0,1
1169,1,45.28,29.37,0,1,0
599,3,48.21,30.34,0,0,0
3794,4,57.1,26.38,0,1,0
999,2,29.81,33.8,0,0,1
4386,4,48.06,24.23,0,1,0
1186,4,49.18,29.0,0,0,0
1858,2,66.96,27.65,0,0,0
1105,1,43.47,29.35,0,1,0
173,4,48.45,30.37,0,0,0
3648,1,44.71,27.17,0,1,0
4236,1,30.57,30.87,0,1,1
1904,4,61.63,27.92,0,1,0
844,2,32.5,25.7,0,0,1
3050,4,51.16,27.68,0,1,0
2582,3,45.45,27.76,0,0,0
98,1,45.8,29.14,0,0,1
2327,1,43.45,27.8,0,1,0
3739,2,46.7,27.11,0,0,0
1391,1,46.0,27.33,0,0,0
3738,4,46.45,27.12,0,1,0
2290,3,54.89,26.3,0,0,0
2444,4,56.61,27.06,0,1,0
3679,4,42.49,26.07,0,1,0
1460,2,46.5,29.53,0,1,0
2900,2,30.61,25.12,0,1,1
1803,3,25.8,19.12,0,0,1
733,2,46.8,29.42,0,1,0
4050,1,68.61,27.48,0,0,1
4174,3,45.09,27.16,0,1,0
3976,3,43.09,32.09,0,1,0
1341,1,45.18,27.85,0,1,1
2604,4,47.51,27.07,0,0,1
2028,3,47.0,27.93,0,0,0
2572,1,45.43,27.81,0,1,0
3354,2,47.65,27.8,0,1,0
3441,3,45.51,27.08,0,1,0
3019,4,48.31,27.65,0,0,0
1396,1,45.63,28.51,0,1,0
4331,4,44.4,27.16,0,0,0
3609,4,46.21,25.13,0,1,0
1979,2,50.59,28.98,0,1,0
743,1,49.06,29.52,0,0,0
2649,2,46.08,27.51,0,0,1
1176,2,46.08,27.51,0,0,1
2666,3,46.08,27.51,0,1,1
3157,1,56.78,24.61,0,0,1
3496,1,56.78,24.61,0,1,1
3581,3,56.78,24.61,0,1,1
1830,2,56.78,24.61,0,1,1
3392,2,68.26,28.21,0,0,1
608,2,48.1,29.75,0,0,0
4566,1,80.0,30.08,0,0,1
2740,2,45.36,27.94,0,1,1
2440,4,45.6,26.93,0,0,0
226,4,48.18,28.5,0,0,1
1030,1,44.63,28.35,0,1,0
3293,1,66.68,28.74,0,0,0
3733,1,44.92,30.02,0,0,0
4302,2,43.08,27.45,0,1,0
1387,2,46.32,27.74,0,1,1
1800,4,66.4,25.28,0,0,1
1121,1,46.02,29.59,0,1,0
1694,3,48.1,27.3,0,0,0
1461,4,62.04,23.8,0,1,1
3790,1,43.99,27.26,0,1,0
3847,1,68.61,27.49,0,0,0
4133,1,53.35,23.55,0,0,1
155,2,41.44,29.67,0,1,0
4664,4,46.5,24.07,0,1,0
4601,3,28.48,19.67,0,1,1
481,1,43.62,29.91,0,0,0
1352,2,47.15,27.62,0,0,0
3924,1,50.07,31.22,0,0,1
885,4,44.87,30.13,0,1,0
3893,1,44.07,26.8,0,0,0
2167,3,39.65,32.32,0,1,0
770,2,44.31,30.3,0,0,0
756,3,64.24,30.82,0,0,1
112,1,70.55,28.62,0,0,0
1,1,50.53,23.19,0,0,1
3552,3,60.7,22.48,0,1,1
737,3,46.46,27.24,0,0,0
3815,4,44.64,27.06,0,1,0
1188,3,46.94,27.74,0,1,0
1512,1,48.94,28.96,0,0,0
2531,4,45.32,33.66,0,1,0
2829,2,47.59,27.47,0,1,0
3732,3,43.8,25.13,0,1,0
3032,3,30.02,24.08,0,1,1
4175,4,46.12,24.91,0,1,0
1038,1,44.92,27.13,0,0,0
2303,4,48.09,26.27,0,1,0
2470,3,47.14,27.92,0,0,0
3694,1,69.5,26.73,0,0,1
1524,2,31.31,26.51,0,1,1
3939,2,44.56,24.38,0,1,1
3537,4,47.72,25.25,0,1,0
2344,4,27.96,15.82,0,0,1
2516,4,51.12,27.06,0,0,0
1142,3,49.75,27.49,0,0,1
141,3,30.93,24.49,0,1,1
1281,2,50.59,29.6,0,1,0
2225,4,33.92,21.1,0,0,1
2816,1,69.29,29.15,0,0,0
1092,2,45.51,28.91,0,1,0
3780,4,45.04,27.49,0,0,0
2289,4,27.64,31.0,0,0,1
2106,2,61.15,28.3,0,1,0
2191,4,47.76,27.42,0,0,0
2545,1,67.67,27.96,0,0,0
3000,2,62.96,26.98,0,0,1
2039,1,42.92,27.07,0,1,1
1953,3,34.27,34.96,0,0,1
3079,2,44.33,27.5,0,1,0
3073,3,27.59,17.42,0,1,1
1256,3,47.52,27.06,0,0,0
2476,3,59.75,27.06,0,0,0
2712,1,30.52,31.08,0,1,1
1566,2,47.07,27.71,0,1,0
3541,2,66.54,28.08,0,0,0
842,1,48.62,28.36,0,0,0
579,2,44.33,27.39,0,0,0
1159,2,45.58,28.86,0,1,0
3497,1,45.49,27.88,0,0,0
109,1,70.64,29.75,0,0,0
4419,1,69.57,26.37,0,0,1
4425,3,29.19,20.75,0,0,1
3254,2,44.63,26.87,0,0,0
1,1,45.25,30.21,0,0,0
2440,3,75.08,27.41,0,0,1
2736,3,45.83,27.08,0,1,0
4393,4,44.92,23.74,0,1,0
1371,2,47.95,29.03,0,1,0
2043,2,45.16,28.12,0,1,0
637,1,45.06,28.27,0,0,1
1314,2,47.91,28.18,0,0,0
618,2,38.35,29.91,0,0,0
3228,2,44.15,27.74,0,1,0
759,2,47.02,29.44,0,1,0
2411,4,48.33,27.99,0,1,0
1443,3,47.75,27.98,0,0,0
1231,2,41.35,29.13,0,1,0
2859,1,64.96,28.65,0,0,0
1437,3,48.81,27.44,0,0,0
4145,1,69.35,26.63,0,0,0
1349,2,63.17,16.24,0,1,1
2009,2,65.75,27.58,0,0,0
1554,2,42.01,30.37,0,1,0
261,1,41.6,30.17,0,1,0
1457,1,55.9,29.05,0,1,1
3390,4,56.48,26.19,0,1,1
2013,4,46.97,27.69,0,1,0
3895,3,43.91,27.36,0,0,0
4318,3,44.2,23.11,0,1,0
2332,1,69.77,27.15,0,0,0
3978,4,45.01,22.77,0,1,0
1925,3,45.72,27.19,0,0,0
185,3,40.45,32.76,0,1,0
3431,3,46.35,26.05,0,0,0
1509,1,48.02,28.03,0,0,1
2398,3,45.58,27.87,0,1,0
821,1,40.02,32.71,0,1,0
2784,1,42.91,27.34,0,1,0
2820,4,48.02,27.47,0,1,0
1704,4,46.54,27.85,0,0,0
1949,1,43.24,30.19,0,1,1
1607,1,46.58,27.96,0,0,0
1142,1,46.18,29.2,0,1,0
4175,1,69.79,26.91,0,0,0
379,2,45.22,33.11,0,1,0
135,2,57.82,31.76,0,0,1
3303,4,47.07,26.9,0,0,0
4617,2,45.22,25.94,0,1,0
2693,2,50.99,27.81,0,1,0
1360,4,49.59,27.74,0,1,0
4050,2,63.36,27.2,0,0,0
1004,1,26.22,35.0,0,1,1
1810,3,46.57,27.97,0,1,0
2524,2,73.12,31.06,0,1,1
3115,2,46.49,27.49,0,1,0
2385,1,66.46,27.02,0,0,0
2290,2,61.13,29.43,0,1,0
4011,1,72.88,27.57,0,0,0
2290,2,80.0,23.8,0,0,1
4239,4,42.7,24.82,0,1,0
3977,3,43.66,24.21,0,1,0
2305,4,47.52,26.91,0,1,1
840,1,68.2,32.03,0,0,1
2491,2,47.03,28.92,0,0,0
3726,2,45.39,28.95,0,1,0
4005,2,44.72,27.25,0,1,0
329,1,48.66,27.81,0,0,1
4555,2,61.32,30.56,0,1,1
1316,1,45.26,28.6,0,0,0
3600,3,67.47,23.21,0,0,1
3868,4,46.01,27.37,0,0,0
343,3,52.16,28.63,0,1,1
2582,4,44.43,28.89,0,1,0
3905,3,45.43,27.89,0,0,1
467,2,43.94,28.1,0,1,0
2243,4,47.74,27.4,0,1,1
3059,1,45.29,28.17,0,0,1
2227,2,45.29,28.17,0,0,1
2293,3,45.29,28.17,0,0,1
4227,1,45.29,28.17,0,0,1
2994,4,45.29,28.17,0,0,1
4285,1,45.29,28.17,0,0,1
4017,2,45.29,28.17,0,1,1
1923,3,31.83,25.86,0,0,1
2929,1,42.46,27.26,0,1,0
234,4,47.96,24.53,0,1,0
2745,3,44.5,27.84,0,1,0
1522,2,28.55,27.07,0,1,1
838,1,61.44,21.73,0,0,1
4224,3,44.39,24.62,0,1,0
3081,4,57.79,25.78,0,1,0
3077,3,44.36,26.79,0,0,0
2062,4,61.62,29.07,0,0,0
3356,2,45.69,27.27,0,1,0
4531,3,43.41,23.3,0,1,0
3059,4,47.59,27.46,0,0,0
2035,2,50.77,29.2,0,1,0
879,3,44.73,27.09,0,1,1
4501,1,66.73,27.46,0,0,1
1140,2,70.19,29.25,0,0,1
3195,4,45.53,27.3,0,1,0
2581,2,46.61,28.3,0,1,0
5357,3,44.88,22.94,0,1,1
3404,1,64.44,26.93,0,0,0
1619,1,45.64,27.52,0,1,0
3116,3,44.48,24.57,0,1,0
3959,1,43.75,27.12,0,1,0
3777,1,66.02,28.87,1,0,0
3537,1,41.76,26.82,0,1,1
1296,2,44.64,28.19,0,1,0
3543,1,45.11,26.41,0,1,0
869,2,44.69,30.14,0,0,0
3055,4,55.97,25.03,0,1,0
609,4,44.55,26.07,0,1,1
2030,2,63.24,27.65,0,1,0
315,3,44.79,25.76,0,0,0
2047,4,57.89,26.09,0,0,0
596,3,41.88,29.68,0,1,0
3899,4,56.51,27.12,0,0,0
2553,2,46.68,27.52,0,1,0
3537,4,27.55,30.52,0,1,1
4291,4,44.71,24.32,0,1,0
3107,4,69.06,29.6,0,1,1
3910,4,46.12,27.22,0,1,0
2732,4,54.73,26.71,0,1,0
4527,3,45.06,27.21,0,1,0
373,1,44.07,29.99,0,0,1
1047,1,47.72,28.8,0,1,0
3246,1,60.19,27.86,0,0,0
3178,4,62.56,27.9,0,1,0
3703,1,43.28,27.27,0,0,0
2214,1,51.5,27.51,0,1,0
3644,1,66.4,27.61,0,1,1
3114,2,66.8,27.75,0,0,0
2273,1,29.26,32.25,0,1,1
1382,2,46.38,30.01,0,1,0
4630,3,44.37,23.15,0,1,0
1665,1,47.05,28.9,0,0,0
2626,4,49.37,26.22,0,0,0
4555,1,69.03,27.08,0,0,0
991,3,47.23,30.53,0,0,0
382,3,72.15,22.98,0,1,1
673,2,46.18,27.36,0,0,0
1244,1,45.14,28.22,0,1,1
248,3,38.6,30.3,0,1,1
4512,4,47.75,27.01,0,0,0
1971,2,45.49,28.39,0,1,0
4302,1,70.81,26.76,0,0,0
3878,2,44.04,27.46,0,0,0
856,4,50.36,28.45,0,0,0
2253,1,45.6,27.91,0,1,0
892,1,51.7,28.18,0,1,0
3658,3,61.45,23.69,0,1,1
3002,4,61.73,23.5,0,1,1
270,2,47.01,27.81,0,1,0
3750,1,43.59,27.27,0,1,0
1230,2,62.15,25.9,0,1,1
2836,2,44.79,27.66,0,1,0
4473,3,40.43,23.73,0,1,0
3600,3,43.92,30.23,0,0,0
4284,4,44.13,23.29,0,1,0
3437,2,65.98,27.03,0,0,0
734,4,47.98,30.18,0,0,0
788,1,47.55,28.26,0,0,1
3324,4,74.39,29.42,0,1,1
3092,4,56.13,26.14,0,0,0
1095,1,32.05,31.89,0,1,1
4663,3,44.44,24.03,0,1,1
3886,1,80.0,23.71,0,0,1
4238,3,42.09,27.02,0,1,0
3088,4,46.15,24.41,0,1,0
641,3,62.99,30.59,0,0,1
4547,4,44.74,23.31,0,1,1
1032,3,47.08,27.28,0,0,0
717,4,44.91,25.76,0,0,0
2473,2,44.49,26.99,0,0,0
1553,2,46.0,27.83,0,1,1
3573,3,44.55,24.04,0,1,0
1834,2,48.86,28.97,0,1,0
4014,3,45.1,24.59,0,1,0
1455,1,28.63,32.19,0,1,1
1683,3,51.69,29.74,0,0,0
2995,1,57.52,28.35,0,0,0
1387,4,50.05,28.93,0,0,0
483,4,47.85,30.24,0,0,0
1327,1,74.76,19.69,0,1,1
4197,1,45.8,27.2,0,0,0
3851,2,68.94,27.12,0,0,0
4436,4,48.55,27.36,0,1,1
2208,4,48.55,27.36,0,0,1
4304,4,48.55,27.36,0,1,1
4929,3,48.55,27.36,0,1,1
2498,1,48.55,27.36,0,1,1
1004,1,48.55,27.36,0,0,1
2906,4,61.96,28.59,0,1,1
1824,3,61.96,28.59,0,0,1
477,4,61.96,28.59,0,0,1
1156,3,61.96,28.59,0,1,1
4583,1,69.46,27.35,0,0,0
2843,1,45.37,27.83,0,0,1
3213,1,67.16,28.86,0,0,0
1592,1,28.99,32.17,0,0,1
2497,3,46.61,27.83,0,1,0
2949,4,56.41,27.0,0,0,0
3873,2,58.71,27.6,0,0,0
1135,2,50.48,29.65,0,1,0
3037,4,31.47,27.78,0,1,1
4753,4,48.62,27.31,0,0,0
3910,2,46.47,27.22,0,0,0
1382,4,45.9,27.66,0,0,1
1119,3,63.49,22.82,0,0,1
1441,3,45.45,27.5,0,0,1
4170,3,45.45,27.5,0,1,1
1531,1,45.45,27.5,0,1,1
3664,4,45.45,27.5,0,1,1
3316,4,45.45,27.5,0,0,1
2222,3,45.45,27.5,0,0,1
4128,4,45.45,27.5,0,1,1
1507,3,20.62,30.91,0,0,1
1240,1,42.91,28.93,0,1,0
782,4,48.7,29.46,0,0,0
4394,4,44.92,26.41,0,1,1
4111,4,44.92,26.41,0,0,1
1507,3,44.92,26.41,0,1,1
2701,3,44.92,26.41,0,1,1
2395,4,44.92,26.41,0,1,1
893,3,44.92,26.41,0,1,1
3108,4,44.92,26.41,0,1,1
2086,1,44.92,28.06,0,1,0
1415,2,51.84,29.08,0,1,0
3044,3,55.97,26.97,0,1,0
1946,1,42.65,27.23,0,1,0
1347,3,45.39,30.11,0,1,1
3314,2,44.24,27.25,0,1,0
1948,1,49.29,27.76,0,1,0
2807,3,46.4,27.35,0,0,1
2500,4,46.4,27.35,0,0,1
3491,4,46.4,27.35,0,1,1
3889,4,46.4,27.35,0,0,1
2965,4,46.4,27.35,0,1,1
523,4,47.85,27.71,0,0,0
4130,3,56.23,20.61,0,1,1
780,2,30.68,32.31,0,1,1
276,2,49.25,28.22,0,0,1
4794,2,35.01,18.47,0,1,1
2131,3,69.31,27.22,0,0,1
3981,4,46.58,23.69,0,1,1
2658,1,46.58,23.69,0,0,1
564,2,46.58,23.69,0,0,1
2463,4,46.58,23.69,0,1,1
2915,2,46.58,23.69,0,1,1
1819,2,45.28,29.56,0,1,0
4250,3,27.37,23.16,0,1,1
994,4,49.61,27.14,0,0,0
1,2,46.61,28.18,0,0,0
2286,1,45.57,27.15,1,0,0
2373,1,65.62,27.75,0,1,0
2730,2,46.2,27.98,0,1,0
419,4,40.01,32.45,0,1,0
3293,3,28.35,23.31,0,1,1
4356,4,45.75,23.8,0,1,0
5061,3,44.55,23.37,0,1,0
4230,3,44.13,26.89,0,1,1
4370,2,44.96,27.28,0,1,0
2643,1,59.77,27.13,1,0,0
3449,3,42.83,26.91,0,1,0
5307,3,45.04,23.49,0,1,0
3824,4,46.76,27.19,0,0,0
2545,4,52.84,27.4,0,0,1
2563,1,63.3,28.06,0,0,1
3565,1,42.83,28.11,0,1,0
2515,1,66.0,28.1,0,0,1
2929,3,51.0,27.66,0,1,1
3793,2,44.76,30.25,0,0,0
1570,1,47.4,27.43,0,0,1
582,3,48.79,25.96,0,0,0
1453,4,48.59,27.21,0,0,0
338,3,45.01,30.32,0,0,0
705,4,48.13,27.13,0,0,0
2948,2,59.27,28.58,0,1,1
3896,2,45.31,28.04,0,1,1
4051,1,42.26,26.85,0,1,0
512,4,50.19,29.38,0,0,1
1850,4,50.19,29.38,0,0,1
2686,2,50.19,29.38,0,1,1
1977,2,50.19,29.38,0,1,1
1582,1,50.19,29.38,0,1,1
1021,2,50.19,29.38,0,1,1
1490,4,50.19,29.38,0,0,1
1986,4,48.0,27.55,0,0,0
682,1,44.82,29.91,0,0,0
4881,3,44.9,25.83,0,1,0
124,3,42.57,27.03,0,1,0
3946,4,48.1,27.0,0,0,0
5144,3,44.07,23.16,0,1,0
1509,3,53.78,26.58,0,0,0
1490,2,47.98,29.76,0,1,0
4276,4,44.29,26.8,0,1,0
2213,4,52.49,27.5,0,0,0
3312,1,49.71,24.27,0,0,1
583,4,45.29,30.45,0,0,0
3211,3,46.23,27.74,0,1,0
1930,4,47.66,27.31,0,0,0
1970,1,65.41,27.73,0,0,0
3174,3,24.62,28.52,0,1,1
1600,2,67.4,27.49,0,1,0
1921,1,43.0,30.38,0,1,0
3098,4,60.15,15.75,0,1,1
3927,2,70.65,27.08,0,0,0
202,1,44.93,30.5,0,1,1
2489,2,44.93,30.5,0,1,1
3877,2,44.93,30.5,0,0,1
2381,1,44.93,30.5,0,1,1
3174,1,44.93,30.5,0,0,1
3524,4,44.93,30.5,0,1,1
3763,3,43.82,27.36,0,0,0
2375,1,76.6,31.48,0,0,1
2560,1,80.0,24.19,0,0,1
2524,4,49.26,28.46,0,1,0
4419,4,44.42,23.52,0,1,0
364,3,61.27,26.54,0,0,1
3079,4,47.89,27.43,0,1,0
3891,3,45.19,26.62,0,1,0
1266,1,50.92,29.66,0,1,1
3143,1,65.31,27.43,0,0,0
399,1,38.27,17.81,0,0,1
2021,3,48.15,27.71,0,0,0
1405,3,46.87,27.5,0,0,0
2341,2,51.48,29.03,0,1,0
2491,1,45.73,27.41,1,0,1
3399,1,71.25,27.57,0,0,0
5095,4,47.67,23.79,0,1,0
438,1,37.22,17.18,0,0,1
1614,1,42.39,27.37,0,1,0
1330,3,40.51,31.0,0,1,0
3064,4,38.56,22.91,0,1,1
3865,3,28.72,20.28,0,1,1
789,1,45.31,29.37,0,1,1
3969,3,44.79,26.43,0,1,1
1011,1,62.13,32.7,0,1,1
3979,3,44.78,26.54,0,1,0
2739,1,68.17,27.9,0,0,0
1595,2,47.6,28.05,0,0,0
242,4,56.94,26.82,0,0,1
405,3,44.86,31.36,0,0,0
2010,4,44.37,27.12,0,1,0
4591,1,68.94,26.85,0,0,0
232,2,33.5,32.67,0,0,1
681,2,66.39,20.19,0,0,1
4637,3,44.79,27.31,0,1,0
3589,2,45.07,30.04,0,0,0
3987,3,44.73,25.7,0,1,0
212,1,45.04,28.78,0,0,0
218,3,69.68,32.71,0,0,1
2153,3,76.53,30.32,0,0,1
1537,4,50.75,29.01,0,1,1
4198,4,43.99,23.71,0,1,1
3372,4,43.99,23.71,0,1,1
2306,4,43.99,23.71,1,0,1
1702,2,43.99,23.71,0,1,1
2685,3,43.99,23.71,0,1,1
2419,3,43.99,23.71,0,0,1
3396,3,43.99,23.71,0,0,1
2520,1,51.67,27.98,0,1,0
3789,4,45.53,27.96,0,1,0
3811,1,53.99,30.03,0,0,1
2613,1,45.0,27.11,0,1,0
2364,4,47.82,27.51,0,0,0
1161,3,39.84,25.7,0,0,0
2284,1,68.11,27.48,1,0,0
1379,4,50.65,28.97,0,0,0
997,1,64.08,25.7,0,0,1
265,3,55.74,28.94,0,1,1
760,3,49.4,26.0,0,0,1
930,4,46.16,25.82,0,1,1
4117,4,47.13,27.37,0,0,1
2508,1,66.0,27.86,0,1,0
3644,1,68.15,27.07,0,0,0
1808,1,44.99,27.57,0,1,0
4483,1,43.18,27.81,0,1,0
617,3,48.57,23.8,0,0,1
2240,2,47.12,27.44,0,1,0
3246,3,56.32,26.24,0,1,0
708,3,44.88,25.8,0,0,0
3502,4,45.77,27.25,0,1,0
3004,3,44.94,25.99,0,1,0
952,4,41.15,31.54,0,1,0
343,1,47.47,30.24,0,0,0
4898,4,46.95,24.78,0,1,0
1516,3,29.89,31.2,0,0,1
2503,4,54.2,27.4,0,0,1
3503,1,54.2,27.4,0,1,1
3819,1,54.2,27.4,0,0,1
4087,3,54.2,27.4,0,1,1
2783,4,54.2,27.4,0,1,1
894,1,54.2,27.4,0,0,1
739,2,54.2,27.4,0,0,1
1376,1,44.76,28.82,0,1,0
1360,2,62.78,32.66,0,1,1
649,4,48.39,28.87,0,0,0
2636,2,31.1,24.03,0,1,1
212,3,44.77,30.34,0,0,1
684,1,47.59,28.45,0,0,0
3127,2,66.24,27.24,0,1,0
101,3,45.08,29.98,0,0,0
2955,4,39.62,20.76,0,1,1
3096,4,58.39,26.15,0,1,1
2014,3,44.57,27.57,0,1,0
1712,1,46.12,28.15,0,0,0
1079,1,50.52,29.6,0,1,0
592,3,44.23,31.58,0,1,0
1983,4,49.38,27.35,0,0,0
2784,4,50.7,27.84,0,1,1
2050,2,66.16,28.01,0,0,0
4261,1,69.98,27.0,0,0,1
1783,2,69.98,27.0,0,1,1
1738,4,69.98,27.0,0,0,1
1836,2,50.97,28.01,0,1,1
3267,1,50.97,28.01,0,0,1
2623,4,50.97,28.01,0,1,1
2431,2,50.97,28.01,0,1,1
304,3,50.97,28.01,0,0,1
2523,1,66.01,27.71,0,0,0
3205,3,46.14,27.21,0,0,0
2572,4,48.92,27.74,0,0,0
2409,1,64.52,20.26,0,0,1
5024,3,66.15,29.67,0,1,1
3710,2,44.16,27.27,0,1,0
2895,4,51.25,26.23,0,1,0
1234,2,46.46,29.83,0,1,0
4887,3,62.24,19.88,0,1,1
2212,2,46.15,27.32,0,0,0
3158,4,48.26,26.76,0,0,0
2673,1,66.61,28.83,0,0,0
2350,3,54.9,26.71,0,0,0
164,3,47.48,29.14,0,0,0
579,4,49.77,26.36,0,0,0
2733,2,59.8,24.37,0,1,1
687,3,39.58,25.83,0,1,0
1509,4,46.67,28.57,0,1,0
263,4,54.08,28.59,0,1,1
1020,1,35.36,26.02,0,1,1
3982,1,26.57,29.88,0,1,1
1934,2,66.4,32.55,0,1,1
4095,3,27.35,23.11,0,1,1
4215,3,44.31,26.74,0,1,0
3830,1,41.85,29.93,0,1,1
4572,4,45.3,26.69,0,1,0
779,1,57.67,29.27,0,1,0
1081,1,34.86,28.7,0,0,1
2704,1,45.04,27.78,0,1,0
201,4,28.64,19.1,0,1,1
1060,3,39.79,31.17,0,1,0
2035,4,47.6,27.42,0,0,0
2065,3,47.87,27.6,0,0,0
3938,2,66.15,27.22,0,0,1
2241,2,66.15,27.22,0,1,1
927,1,66.15,27.22,0,1,1
2118,3,66.15,27.22,0,0,1
360,4,66.15,27.22,0,1,1
1925,3,66.15,27.22,0,0,1
4296,1,66.15,27.22,0,1,1
3614,4,57.83,26.96,0,0,0
901,2,48.6,29.04,0,1,0
1500,1,46.13,28.39,0,1,0
3080,1,67.63,27.39,0,0,0
4614,3,36.75,21.73,0,1,1
1554,2,71.59,24.6,0,0,1
2044,1,44.18,28.77,0,1,0
2164,1,45.11,27.98,0,1,0
2683,2,64.25,27.97,0,1,0
1360,1,29.03,31.79,0,1,1
1331,4,49.46,29.15,0,1,0
2462,1,69.21,27.49,0,0,0
2240,4,48.23,27.3,0,0,0
2982,3,45.3,26.79,0,0,0
863,2,63.16,33.81,0,0,1
533,2,46.64,29.33,0,0,0
4139,1,70.06,28.48,0,0,0
2111,3,44.17,27.17,0,0,1
1399,3,50.82,28.61,0,0,1
289,1,42.17,30.2,0,0,0
3186,2,45.47,27.42,0,1,0
